OTU	Size	Taxonomy	taxname	phylum	family
Otu0900	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0900_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0901	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0901_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0902	18	Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_unclassified(67);Bacillales_unclassified(67);	Otu0902_Bacillales_unclassified	Firmicutes	Bacillales_unclassified
Otu0903	18	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0903_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0904	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0904_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0905	18	Bacteria(100);Actinobacteria(100);Coriobacteriia(100);Coriobacteriales(100);Coriobacteriaceae(100);Eggerthella(78);	Otu0905_Eggerthella	Actinobacteria	Eggerthella
Otu0906	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0906_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0907	18	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0907_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0908	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(78);	Otu0908_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0909	18	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0909_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0910	18	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);	Otu0910_Lactobacillus	Firmicutes	Lactobacillus
Otu0911	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(84);	Otu0911_Ruminococcaceae_unclassified	Firmicutes	Ruminococcaceae_unclassified
Otu0912	18	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);	Otu0912_Bacteroidales_unclassified	Bacteroidetes	Bacteroidales_unclassified
Otu0913	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(95);	Otu0913_Ruminococcaceae_unclassified	Firmicutes	Ruminococcaceae_unclassified
Otu0914	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0914_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
