Extraction Date,Experiment Day,Mouse ID,feces only,feces+PBS,BB tube before,BB tube +slurry+CD1,BB tube +slurry,fecal slurry,,
,d-10,n103804,0.0143,,3.1017,3.9751,,0.0222,standard chow,
,,n103703,0.0323,,3.0028,3.8869,,0.0329,,
,,n104403a,0.0204,,3.0704,3.9461,,0.0245,,
,,n104403b,0.0247,,3.0857,3.9606,,0.0237,,
,,n104301,0.0479,,3.0412,3.9681,,0.0757,,
,,n104302,0.0235,,3.0911,3.9655,,0.0232,,
,,n104303,0.0387,,3.0336,3.9639,,0.0791,,
,,n104001,0.0496,,3.039,3.9778,,0.0876,,
,,n104002,0.0634,,3.0869,4.0585,,0.1204,,
,,n104003,0.0581,,3.026,4.0193,,0.1421,,
Exp 1 above; Exp 2 below,,,,,,,,,,
20190322,d-14,n140501,0.02415,0.2415,3.0365,4.086,,0.1983,,don’t_havefecalweightjustdividedfecespluspbsby10
,,n140502,0.0151,,3.0842,3.9825,,0.0471,,
,,n140602,0.0339,0.339,3.0088,4.0631,,0.2031,,don’t_havefecalweightjustdividedfecespluspbsby10
,,n140701,0.01006,0.1006,3.4291,4.142,,-0.1383,????,don’t_havefecalweightjustdividedfecespluspbsby10
,,n140702,0.031,,3.0846,3.995,,0.0592,,
,,n141101,0.0346,,3.1486,4.204,,0.2042,,
,,n141102,0.0263,,3.0742,4.0466,,0.1212,,
,,n141201,0.0293,,3.0585,4.054,,0.1443,,
,,n141301,0.0307,,3.1115,4.1226,,0.1599,,
,,n141302,0.0183,,3.0312,3.926,,0.0436,,
20190313,d-12,n120501,0.0171,,3.0419,,3.2574,0.2155,12.60233918,
,,n120502,0.0156,,3.0428,,3.2996,0.2568,16.46153846,
,,n120601,0.0346,,3.0848,,3.3461,0.2613,7.552023121,
,,n120602,0.0414,,3.0582,,3.3348,0.2766,6.68115942,
,,n120603,0.0253,,3.0436,,3.3142,0.2706,10.69565217,
,,n120701,0.0217,,3.0621,,3.3233,0.2612,12.03686636,
,,n121101,0.0446,,3.0576,,3.3382,0.2806,6.291479821,
,,n121102,0.047,,3.0466,,3.2977,0.2511,5.342553191,
,,n121103,0.04,,3.1053,,3.331,0.2257,5.6425,
,,n121201,0.055,,3.0646,,3.3144,0.2498,4.541818182,
,,n121301,0.0388,,3.0571,,3.4105,0.3534,9.108247423,
,,n121303,0.0203,,3.0842,,3.3356,0.2514,12.38423645,
20190403,d-1,n010601,0.0289,,3.11,,3.2764,0.1664,,
,,n010602,0.0561,,3.0862,,3.4982,0.412,,
,,n010603,0.0301,,3.0569,,3.2327,0.1758,,
,,n010701,0.0494,,3.0468,,3.4322,0.3854,,
,,n010702,0.0275,,3.0731,,3.238,0.1649,,
,,n010703,0.0234,,3.0651,,3.1792,0.1141,,
,,n011102,0.0526,,3.0455,,3.3796,0.3341,,
,,n011201,0.0288,,3.0584,,3.1832,0.1248,,
,,n011303,0.0354,,3.0943,,3.3394,0.2451,,
20190314,d0,p000501,0.0448,,3.0938,4.1681,,0.2231,,
,,p000502,0.0482,,3.0785,4.2292,,0.2995,,
,,p000601,0.0594,,3.0449,4.2429,,0.3468,,
,,p000602,0.0013,,3.1502,4.1454,,0.144,,
,,p000603,0.0272,,3.1041,4.0292,,0.0739,,
,,p000701,0.0487,,3.0674,4.1926,,0.274,,
,,p001101,0.0222,,3.0456,3.9376,,0.0408,,
,,p001102,0.0534,,3.0338,4.2235,,0.3385,,
,,p001103,0.0499,,3.0709,4.1835,,0.2614,,
,,p001201,0.0543,,3.0998,4.2878,,0.3368,,
,,p001301,0.0652,,3.108,4.4347,,0.4755,,
,,p001303,0.0345,,3.0671,4.0814,,0.1631,,
20190315,d4,p040501,0.021,,3.0694,3.9879,,0.0673,,50uL
,,p040502,0.071,,3.0888,4.4988,,0.5588,,
,,p040602,0.026,,3.0685,4.0285,,0.1088,,50uL
,,p040603,0.0554,,3.0233,4.185,,0.3105,,
,,p040701,0.0519,,3.0617,4.241,,0.3281,,
,,p041101,0.0807,,3.0296,4.4186,,0.5378,,
,,p041102,0.0289,,3.03,4.0117,,0.1305,,
,,p041103,0.0365,,3.0508,4.1199,,0.2179,,
,,p041201,0.0582,,3.0638,4.2962,,0.3812,,
,,p041301,0.0494,,3.0431,4.2328,,0.3385,,
,,p041302,0.0331,,3.0726,4.127,,0.2032,,
20190321,d7,p070501,0.0059,0.0644,3.0619,3.9661,,,,
,,p070502,0.0369,0.3651,3.1198,4.215,,,,
