"OTU"	"LogMaxMean"	"Class"	"LDA"	"LDA.abs"	"pValue"	"phylum"	"family"	"family2"
"57"	"Otu0123"	2.56475	"n12"	2.19178	-2.19178	0.0220436	"Firmicutes"	"Caproiciproducens"	"Caproiciproducens"
"58"	"Otu0124"	2.66802	"n12"	2.32023	-2.32023	0.0351749	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"59"	"Otu0126"	3.07176	"n12"	2.71749	-2.71749	0.0220436	"Firmicutes"	"Butyrivibrio"	"Butyrivibrio"
"60"	"Otu0130"	2.73981	"n12"	2.37749	-2.37749	0.011164	"Firmicutes"	"Coprobacillus"	"Coprobacillus"
"61"	"Otu0131"	3.09894	"n12"	2.75613	-2.75613	0.011164	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"62"	"Otu0132"	3.17679	"n12"	2.79062	-2.79062	0.0366275	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"63"	"Otu0133"	2.7059	"n12"	2.35544	-2.35544	0.011164	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"64"	"Otu0134"	2.8247	"n12"	2.47395	-2.47395	0.011164	"Firmicutes"	"Blautia"	"Blautia"
"65"	"Otu0135"	2.48046	"n12"	2.1726	-2.1726	0.011164	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_UCG-006"
"66"	"Otu0136"	2.84167	"n12"	2.50662	-2.50662	0.011164	"Firmicutes"	"Other"	"Family_XIII_ge"
"67"	"Otu0138"	3.44335	"n12"	3.0944	-3.0944	0.0351749	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"68"	"Otu0140"	2.43349	"n12"	2.09825	-2.09825	0.0220436	"Firmicutes"	"Ruminococcaceae_unclassified"	"Ruminococcaceae_unclassified"
"69"	"Otu0141"	3.05324	"n12"	2.72919	-2.72919	0.011164	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"70"	"Otu0142"	3.3558	"n12"	3.03647	-3.03647	0.0220436	"Firmicutes"	"Syntrophococcus"	"Syntrophococcus"
"71"	"Otu0146"	2.65114	"n12"	2.32788	-2.32788	0.011164	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"72"	"Otu0150"	2.86851	"n12"	2.52066	-2.52066	0.0220436	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"73"	"Otu0152"	2.78777	"n12"	2.42339	-2.42339	0.0220436	"Firmicutes"	"Other"	"Family_XIII_unclassified"
"74"	"Otu0156"	2.42103	"n12"	2.08478	-2.08478	0.011164	"Firmicutes"	"Other"	"uncultured"
"75"	"Otu0157"	2.74343	"n12"	2.39269	-2.39269	0.011164	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"76"	"Otu0159"	2.71828	"n12"	2.43133	-2.43133	0.0366275	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
