"OTU"	"LogMaxMean"	"Class"	"LDA"	"LDA.abs"	"pValue"	"phylum"	"family"	"family2"
"66"	"Otu0143"	3.29283	"n12"	2.96802	-2.50662	3.2593e-05	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"67"	"Otu0150"	2.88303	"n12"	2.56321	-3.0944	0.00188519	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"68"	"Otu0156"	2.93106	"n12"	2.52102	-2.09825	0.0236203	"Firmicutes"	"Other"	"uncultured"
"69"	"Otu0157"	3.21159	"n12"	2.87524	-2.72919	9.83018e-05	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"70"	"Otu0161"	2.57966	"n12"	2.31032	-3.03647	0.000317714	"Firmicutes"	"Ruminiclostridium"	"Ruminiclostridium_6"
"71"	"Otu0168"	3.00533	"n12"	2.62319	-2.32788	0.00767973	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"72"	"Otu0170"	3.41731	"n12"	3.15144	-2.52066	0.000106506	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"73"	"Otu0179"	2.68671	"n12"	2.41416	-2.42339	0.000555387	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"74"	"Otu0183"	2.99817	"n12"	2.69371	-2.08478	0.000106506	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"75"	"Otu0185"	2.93713	"n12"	2.62306	-2.39269	0.00132856	"Firmicutes"	"Other"	"uncultured"
"76"	"Otu0187"	2.44343	"n12"	2.03872	-2.43133	0.013167	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"77"	"Otu0193"	2.38251	"n12"	2.13942	-2.2901	0.00221566	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"78"	"Otu0203"	2.76706	"n12"	2.46446	-2.62536	0.00173408	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"79"	"Otu0216"	2.73247	"n12"	2.45006	-2.49078	0.000226215	"Firmicutes"	"Other"	"uncultured"
"80"	"Otu0218"	2.91892	"n12"	2.64709	-2.13114	0.000106506	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"81"	"Otu0219"	2.85641	"n12"	2.58883	-2.35223	0.000317714	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_NK4A136_group"
"82"	"Otu0220"	2.52922	"n12"	2.1682	-2.20232	0.000825184	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"83"	"Otu0238"	2.77158	"n12"	2.44923	-2.79916	0.00493669	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"84"	"Otu0267"	2.29501	"n12"	2.04579	-2.25539	0.00525648	"Firmicutes"	"Tyzzerella"	"Tyzzerella_3"
