sampleID	seqID	patientID	experiment
a2p06	a2p06	a2	bioreactor
a3p00	a3p00	a3	bioreactor
a3p01	a3p01	a3	bioreactor
a3p02	a3p02	a3	bioreactor
a3p03	a3p03	a3	bioreactor
a3p04	a3p04	a3	bioreactor
a3p06	a3p06	a3	bioreactor
a4p00	a4p00	a4	bioreactor
a4p01	a4p01	a4	bioreactor
a4p02	a4p02	a4	bioreactor
a4p03	a4p03	a4	bioreactor
a4p04	a4p04	a4	bioreactor
a4p06	a4p06	a4	bioreactor
a5d03	a5d03	a5	bioreactor
a5p00	a5p00	a5	bioreactor
a5p01	a5p01	a5	bioreactor
a5p02	a5p02	a5	bioreactor
a5p04	a5p04	a5	bioreactor
a5p06	a5p06	a5	bioreactor
a6p00	a6p00	a6	bioreactor
a6p03	a6p03	a6	bioreactor
a6p06	a6p06	a6	bioreactor
b1p00	b1p00	b1	bioreactor
b1p01	b1p01	b1	bioreactor
b1p02	b1p02	b1	bioreactor
b1p03	b1p03	b1	bioreactor
b1p04	b1p04	b1	bioreactor
b1p06	b1p06	b1	bioreactor
b2p00	b2p00	b2	bioreactor
b2p01	b2p01	b2	bioreactor
b2p02	b2p02	b2	bioreactor
b2p03	b2p03	b2	bioreactor
b2p04	b2p04	b2	bioreactor
b2p06	b2p06	b2	bioreactor
b4p00	b4p00	b4	bioreactor
b4p01	b4p01	b4	bioreactor
b4p02	b4p02	b4	bioreactor
b4p03	b4p03	b4	bioreactor
b4p04	b4p04	b4	bioreactor
b4p06	b4p06	b4	bioreactor
b5p00	b5p00	b5	bioreactor
b5p01	b5p01	b5	bioreactor
b5p02	b5p02	b5	bioreactor
b5p03	b5p03	b5	bioreactor
b5p04	b5p04	b5	bioreactor
b5p06	b5p06	b5	bioreactor
b6p00	b6p00	b6	bioreactor
b6p01	b6p01	b6	bioreactor
b6p02	b6p02	b6	bioreactor
b6p03	b6p03	b6	bioreactor
b6p04	b6p04	b6	bioreactor
b6p06	b6p06	b6	bioreactor
blankmediarelapse	blankmediarelapse	xg_media	relapse
pbsdilmay15	pbsdilmay15	pbs	control
pbsdilrel	pbsdilrel	pbs	Control
xgcommfrirelapse	xgcommfrirelapse	xg_com_fri	relapse
xgcommsunrelapse	xgcommsunrelapse	xg_com_sun	relapse
